												
												
№	РЕЕСТ ЗАРЕГИСТРИРОВАННЫХ ГОРОДОВ СП5 (ВЕДЁТСЯ МИНИСТЕРСТВОМ ЮСТИЦИИ)											
	ОБЩАЯ ХАРАКТЕРИСТИКА				КООРДИНАТЫ					РЕГИСТРАЦИЯ ТЕРРИТОРИИ		
138	Техноград	Город в стиле Киберпанка	FaNToMaSTeR		-8071	-12416	2000	-1010	-1552	20.06.2022	https://vk.com/topic-131054616_48663772?post=4009	TRUE
139	Ozymandias	небольшое убежище для рандомных людей	Vovchik_		-2630	12980	200	-332	1622	26.06.2022	https://vk.com/wall-131054616_86655	TRUE
140	Тирион	Город в эльфийской тематике на возвышенности	BABKA2000		5463	2200	1500	675	270	26.06.2022		TRUE
141	Дота 2 Сити	дота 2 про сити чил раслабон	Ittriy_		-11311	674	500	-1410	80	26.06.2022	https://vk.com/gepe5?w=wall-131054616_86668	TRUE
142	Ушлёпинск	Большой Шлёппа ушлёпок	mp43		9989	-11901	250	1265	-1494	27.06.2022		TRUE
143	OASIS	Это место, во вселенной, в котором жители параллельных миров и изгои из различных хронологических веток, приспособились к жизни в одном обществе.	Kweebek		4374	825	1000	544	92	27.06.2022		TRUE
144	Свалкер Таун	Без описания.	Vindescent_		-9067	2757	2000	-1118	350	27.06.2022		TRUE
145	Араскад	Город древ и пиратов	xDelijax		-9000	10000	2000	-1117	1263	23.06.2022	https://vk.com/gepe5?w=wall-131054616_86673	TRUE
146	Объект ТБК	Город только основали и планируется он в стиле утопического будущего в гармонии с природой. Будем РПшить, но это необязательно..) Так же, в городе будет загадочный бункер	Redrik		80	-10600	600	10	-1333	21.06.2022	https://vk.com/gepe5?w=wall-131054616_86535	TRUE
147	СПГ	Без описания.	Twennnn		-4990	-5683	2000	-610	-720		https://vk.com/twennnn	TRUE
148	Королевство Ксалмор	 Если ты новичок, у тебя нету ресурсов, знакомых, и ты не знаешь куда идти, то город новичков - это правильный выбор	nikolskiy		-5200	6600	1000	-650	828	22.06.2022		TRUE
149	Южные Плантации	Без описания.	Zaekranniy		-1040	13000	500	-103	1681	29.06.2022		TRUE
150	Ytic Osto	Здесь живут гении И лютые контiнт мейкiиры	T0fr0		-2513	3741	100	-314	468	30.06.2022	https://vk.com/topic-131054616_48663772?post=4085	FALSE
151	Крайград	Маленькое поселение на острове возле края нового мира.	Elik_		13492	13492	300	1687	1687			TRUE
152	AriForce	Мир на летающих островах	_AntiLag		-1700	-8940	350	-215	-1111	03.07.2022	https://vk.com/ wall-131054616_86224	TRUE
153	GJ 1214 b	Планета (город)	Fel1xx_		-1470	-2350	1250	-184	-294			TRUE
154	Fallen Kingdom	Фолен кингдом - остров с замком и деревней, король защищает свое королевство от нежити. Основано на популярном клипе Майнкрафт 2012 года от Captain Sparkle	KrecbackPlay		-4600	-2300	300	-583	-285	03.07.2022	https://vk.com/topic-131054616_48663772?post=4082	TRUE
155	Нонхейм	Европейский городок на берегу теплого моря, расположен в на тропическом полуострове с роскошными пляжами. Город полон животных, ламповой атмосферы и загадок.	_Primorskiy_		1460	-10000	250	178	-1262	03.07.2022		TRUE
156	ReField	Небольшой городок, в котором может произойти всё что угодно.	StepanSK		-8200	-1200	2000	-1031	-150			TRUE
157	Баобан	Город в эко стиле, заросшие здания и дома-баобабы.	ChingisHs		4200	-1400	1500	527	-179	03.07.2022	https://vk.com/gepe5?w=wall-131054616_83975	TRUE
158	Питер	Стилистика города Германия 50-х. Ещё у нашего города есть второе неофициально название Питербург.	Dinnerlone		-175	-8379	700	-10	-1045			TRUE
159	Трудоград	маленькая деревушка на окраине страны	_Sludge		11785	8994	1600	1457	1137			TRUE
160	ДЫРА ИЗГОЕВ	малюсенькое поселение из говна и палок. Жизнь в скучной яме и без душных поручений	internetAtaka		-4866	-56	350	-611	-100			TRUE
161	А.р.т	Город в котором будут построены множество арт объекты разных тематик 	Pipega_		8059	-3923	1000	1000	-500	04.07.2022	https://vk.com/wall-131054616_86745	TRUE
162	Машрум	Грибной биом? Нет, уютный приятный город усыпанный мухаморчиками.	Koritssa		-10678	436	1000	-1334	2			TRUE
163	Indivinity	Город в фэнтэзи sci-fi стиле.	KvaksHDX		10500	-12750	1000	1312	-1539			TRUE
164	HillTop	TrapBurg - это город стиле мульти-вселенной, у нас можно строить в том стиле который лежит у тебя в душе, мы рады всем. TRapBurg - город с очень дружным коллективом, и огромном количеством ферм, с нами тебе откроются большие возможности. С любовью жители города TrapBurg	VacBanchik		-8650	-8100	2000	-1075	-1000	30.06.2022		TRUE
165	Даллас	Город в стиле Америки 40х годов. Мафии, бары, азартные игры, джаз, перестрелки.	YourMayskiy		-1748	-494	700	-232	-60			FALSE
166	DOWN CITY	Великий город МЕЛШЕРА BatiaTop и  КОЗЯВОЧКИ	BatiaTop		2100	2000	1000	275	250			FALSE
167	Маньян	Китайский город XVII Века, город самураев, и очень отважных самураев	_TheBombaDuster_		-10404	-778	1000	-1297	-98			TRUE
168	Остров "РОЗ"	Туристический город мечты. (На воде)	Mr_Derti		-5045	7365	2000	-630	920	14.12.2022		TRUE
169	Яхтинск	Город, который состоит из яхт! Любовь к морю, яхтам и свежему воздуху создала его	MakDac		-1111	11400	1000	138	1554			TRUE
170	Колхоз	Простой колхоз в котором живут и трудятся лютые работяги	Zhizhoid		-225	3350	1000	-23	430			TRUE
171	BomzCity	Город для новичков, приютим каждого! Дадим нужные ресурсы.	Felky_		-881	1167	500	-115	153			TRUE
172	 Вальдер	Лучший город на всём Свете!	Babka_trax		-11815	1800	1700	-1488	228	12.07.2022	https://vk.com/wall-131054616_86821	TRUE
173	Вайтран	Не большой средневековый городок окружённый горами	Kevond		-13210	3577	1500	-1650	446	12.07.2022	https://vk.com/wall-131054616_86822	TRUE
174	Геленджик	Город в стилистике СССР - Sci fi	nikolskiy		-6020	7350	1000	-740	900	12.07.2022		TRUE
175	Copper Town	Это был обычный шахтёрский город до приезда учёного помешанного на меди. Вокруг этого учёного ходят много слухов в городе, одни говорят что слышат крики из его лаборатории, а другие что после его приезда люди начали покрываться медью	Zombain_		9150	7650	700	1078	641			TRUE
176	Альбион	Тихий пригород Лондона 20 -21 века. Известен своим большим и необъятным м.	nikolskiy		7044	12208	500	875	1523	13.04.2024		TRUE
178	Дрочсити	Крутой НН город под названием: "ДрочСити". Имеется основной остров и 3 полуострова, на каждом из которых будут микрорайоны на разные тематики	JLyKA		-9242	-352	250	-1164	-41			TRUE
179	Myfgrad	Город состоит из фентезийного стиля. Там будут присутствовать места для рп, а так же места для ивентов.	mefofilov		10560	-13135	500	1324	-1629			TRUE
180	Celestus	 Город, охваченный технологиями и растениями в уникальном стиле Биопанк.	lyaguxa		930	-7238	550	121	-910			TRUE
181	 Село "Уютненько"	Нереально уютное место, приходите на обэд.	YourSancho		12700	-555	500	1600	-60	20.07.2022	https://vk.com/gepe5?w=wall-131054616_86906%2Fall	TRUE
182	TPS squad	Второй Район OTSO CITY	3BE3DA		650	3760	500	83	480			FALSE
183	Хуторок	Котэджный поселок "Хуторок"	Finch_16		-3150	-800	300	-393	-100			TRUE
184	Пельмень?	C майнезом?	Jeleiaka		-8750	7480	750	-1100	929		https://vk.com/gepe5?w=wall-131054616_84541%2Fall	TRUE
185	Fedsura	Город потных работяг.	Slashow1		4572	-3752	300	557	-460	05.06.2022	https://vk.com/gepe5?w=wall-131054616_86945	TRUE
186	Феклист	Город-ферма	Cotov		-13250	374	100	-1657	46			TRUE
187	ЧвякТаун	Просто маленькая деревушка с её жителями, уютное и ламповое место для общения с друзьями и приятного время проаожднения.	Beton4uk		-3925	5226	2000	-471	630			TRUE
188	Дачный посёлок "Солнечный"	"Солнечный" - это тихий дачный посёлок. Тут вы можете собраться со своими друзьями, пожарить шашлык, искупаться на речке и перекопать всю картошку!	Good_Man_31		9900	6550	500	1232	840	02.08.2022	https://vk.com/wall-131054616_87158	FALSE
189	Нижний Темнокаменск	Подземный город, погрязший в преступности. Подпольный бизнес, шайки преступников, отбросы общества нашли приют в темных закоулках этого богом забытого места	Scott_Light		-4700	-12980	1000	-550	-1652	02.08.2022		TRUE
190	NASA-sity	Даём кирки новичкам бесплатно, поощряем билдеров деньгами, открытая казна, только у нас можно заработать ртом	_Anch0vy_		4520	-840	1000	565	-105	20.08.2022		TRUE
191	Empire	Empire - это не просто город, это целая империя. Которая с каждым днем будет развиватся и идти только вверх.	Mr_MINIROC		874	-5638	700	104	-711	02.08.2022		TRUE
192	сиськи	Настоящий пластмассовый мир..	MoSmall		7300	-6900	500	912	682	03.08.2022		TRUE
193	РОФ	Республиканская Обсидиановая Федерация	M0rg3nGh0s1		447	-11592	2000	50	-1443	03.08.2022		TRUE
194	Night Град	Саратов вампиров	SQUICK__		11949	-12394	2000	1492	-1551	04.08.2022		TRUE
195	Хельмер	Построссия, власть природы	S0venok		-3000	-8000	2000	-386	-1010	03.06.2022	https://vk.com/wall-131054616_84408	TRUE
196	Фронард	Город с большими планами на СП5. Смешанная архитектура, несколько районов.	SOROKUN		1790	-4692	1500	235	-570	05.08.2022	https://vk.com/wall-131054616_87230	TRUE
197	Эльфейм ♥	Город с дружным комьюнити	Crazedz		2250	-9250	1500	250	1050	05.08.2022		TRUE
198	SaudWest	Город обоснованный двумя странствующими путниками, во имя просветления великой идеологии о которой знаю лишь единицы	JoyEnd; Jack_Wood		-135	13481	1000	-12	1885	05.08.2022	https://vk.com/gepe5?w=wall-131054616_87233%2Fall	TRUE
199	БебраСтан	Город бэбр,сбежавших от Адольфа-бебры, ну тут могут жить кто хочет, Архитектура города:хайтек, киберпанк2099 и брутализм( ну короче да,хайпарик	Kulich228ProChea		-13437	2626	1500	-1671	324	06.08.2022		TRUE
200	Уютненько	Город таджика	5ynep		7270	-8521	650	922	-1065	07.08.2022		TRUE
201	Фарматти	Фарматти - город без общего стиля, связанный с вечностью мира.	t1mem1x		5120	-6880	1500	640	-860	11.08.2022		TRUE
202	Неллуру	Рыбацкий город.	I_Moksi       		2498	2498	500	302	-1374	09.08.2022		TRUE
203	Floarant	Красивое место с пездатым домом	Yumio_spum		2300	-8706	400	277	-1090	12.08.2022		TRUE
204	Мытищи		ita1eex		541	-6548	200	68	-818	12.08.2022		TRUE
205	Склад снюса		Ruslan_Mironov		-2100	-11100	400	-275	-1400	13.08.2022		TRUE
206	Риверфорд	Небольшой город выполненный в средневековом стиле	BleskFox		7323	-9267	1250	909	-1159	13.08.2022		TRUE
207	ECO City	Город с красивейшей архитектурой, в которой совмещено два стиля - модерн и хай-тек, а также присутствует огромное количество растительности.	Legogoshka		-2570	-369	1500	-321	-46	14.08.2022	https://vk.com/gepe5?w=wall-131054616_87359%2Fall	TRUE
208	РамблСити	Прекрасный город, находится над океаном. Здесь живёт бомбер и министр и их друзья.	bomber1337		-9234	7668	1000	-1159	-956	15.08.2022		TRUE
209	Хлеб	тут живут только хлебные крошки	Parmene		10198	-365	200	1275	-43	15.08.2022		FALSE
210	 АурБург	Немецкий городок со зданиями "ренессанс" и "борокко". мы, ищем именно - тебя!	rztka		12331	5250	1500	1550	652	16.08.2022		TRUE
211	СКАМСК	Город в котором скам является градообразующим предприятием	MD_MA		3375	1086	500	420	148	17.08.2022		TRUE
212	остров Намму	Город в тематике Древних Свитков, рыбакий остров к востоку от Морровинда.	nicelinger		-12700	6050	1000	-1591	756	15.08.2022	https://vk.com/topic-131054616_48663772?offset=300# (от Кирилла Смолова)	TRUE
213	Киноко	Дерево и домики.	linaxtwist		-6435	-11857	1000	-757	-1424	31.08.2022		TRUE
214	Территория maudzeduna2	в прошлом город, но по итогу моя терра	maudzeduna2		2125	2020	400	265	250	01.09.2022		TRUE
215	Лесной Посёлок	Дискорд Посёлка: https://discord.gg/u88Gvma2cG	LegoManchik		7156	13471	1000	878	1699			TRUE
216	Скуфоград	Рп город капибар в стилистике современной италии. Если ты крутая капибебра, с радостью примем!	Capybarin52		-1441	-4842	400	-1299	-601	02.09.2022		FALSE
217	Версалис	Город-мультивселенная. разные вселенные объединились в результате инцидента и повлекли за собой появление самых   необычных мест	BlooHA		-10400	-6300	1000	1305	714	09.09.2022	https://vk.com/topic-131054616_48663772?post=4176	TRUE
218	Авангард	Авангард - Самый комфортный город для выживания!	kirushkin_TPEHEP		-5771	-1048	1500	-722	-130	12.09.2022		TRUE
219	Котайл-Град	Город, которым владеет Котайл	_Kota1L_		-1360	11487	144	-170	1435	25.09.2022	https://vk.com/wall-131054616_87747	TRUE
220	Крискин Град	жески город я лююлю хот доги	TheKriska		-2082	9712	300	-262	1213	20.04.2022		TRUE
221	ImpCity	Небольшой город, являющийся базой ТО ИМП, мы занимаемся играми и ивентами. В городе врятли будет много красивой архитектуры, однако вы найдете чем заняться.	M0xx1e		-2000	-16000	2000	-250	-2008	06.10.2022	https://vk.com/wall-131054616_87806	TRUE
222	Карабас	Город общения и друзей с интересной архитектурой	Argemia		-350	16000	2000	-50	2000	06.10.2022	https://vk.com/wall-131054616_87815	TRUE
223	qqCity	Лучший город (после Мультикора)	Kurumaqq		-15060	3500	1700	-1881	450	06.10.2022		TRUE
224	Иннополис	Современный город с высокими технологиями!	Kraineff		2300	14240	350	288	1780	07.10.2022	https://vk.com/topic-131054616_48663772?post=4192	TRUE
225	Ферма Вермонта	Территория для ферм города "Вермонт". Является запреткой не для её жителей	RouL1N		-14721	17583	1000	-1842	2201	08.10.2022		FALSE
226	Valentine	Город в стиле техаса 1990 годов	fafpik283		15206	-468	1500	1902	-58	08.10.2022		TRUE
227	Кладбище Замбу	Мирный город на берегу	Zombu_		18229	11672	1000	2282	1449	08.10.2022		TRUE
228	Шоссе 66	Город в стилистике юга США 1980 - 2000 годов. Гигантское шоссе соединяющее три штата	Holodech123		-7779	-14530	600	-963	-1824	10.09.2022	https://vk.com/gepe5?w=wall-131054616_87811%2Fall	TRUE
229	NoNe	Город на вершине глиняных гор, дабы отдохнуть душой и телом, либо же под карьеры	TeFiCr		18733	-676	2000	2343	-92	10.09.2022	https://vk.com/topic-131054616_48663772?post=4230	TRUE
230	Ty3uK Land	Личная территория Ty3uK_'a	Ty3uK_		20054	11548	1000	2441	1456	10.10.2022	https://vk.com/topic-131054616_48663772?post=4233	TRUE
231	Флорес	ебейший город аля деревня крутой художницы зебисквит и ее кентух	thebiskvit		128	20483	500	-1	2565	11.10.2022		TRUE
232	Реп Сити	Столица Репа на СП. Холодные улицы этого опасного города согревают лучшие кубические рифмы.	shinekid420		-3778	-18972	1500	-470	-2370	13.10.2022	Отсутствует	TRUE
233	Мёртвые  Моря	База - Город на воде	CaptainZakyyy		5414	17763	1500	-700	2224	13.10.2022		TRUE
234	Maiami city	Солнечный Майами предлагает вам погрузиться в приятную и теплую атмосферу неонового городка на берегу лазурного моря, окруженного зелеными пальмами	AndroMedaPON		10592	-9729	1000	1288	-1180	13.10.2022	https://vk.com/wall222197574_8593	TRUE
235	Cats City	Город котов!	Luciferus_		-17500	2000	1500	-2200	250	16.10.2022	https://vk.com/gepe5?w=wall-131054616_87917%2Fall	TRUE
236	Dogs City	здесь живут самые тяшные топеры СП	mirrell		-14500	2000	1500	-1800	250	16.10.2022	https://vk.com/gepe5?w=wall-131054616_87916%2Fall	TRUE
237	Редмафия	Терра Редмафии	RedMafia_		23333	-7250	2000	2920	-906	16.10.2022		TRUE
238	Дубиноград	Дубиноград - город возможностей, бравл старса и гачалайф.	andryxa_progamer		886	-14646	2000	4	-1818	16.10.2022	vk.com/public216528348?w=wall-216528348_1	TRUE
239	Сайлент-Хилл	Город в смешанном стиле. Этот город совмещается с поверхностью и подземельем. Цель этого города - дарить людям счасть	WestfalliJ		-189	8282	750	-21	1034	18.10.2022		TRUE
240	Вельтербург	Вельтербург	Futo_Dono		-22247	32	2000	-2790	9	19.10.2022	https://vk.com/wall-131054616_87931	TRUE
241	ОцоCity	Город, просто город. (не путать с Отсо)	Mr_Pa3HbIu		19579	910	75	2446	105	19.10.2022		FALSE
242	Winston	Самый популярный город на PoopLand перешедший на #СП5	lama_rosso		-16070	2470	700	-2000	300	21.10.2022		TRUE
243	Блиттерфилд		Gostron0v		23113	-508	900	2890	-64	23.10.2022	https://vk.com/wall-131054616_87935	TRUE
244	Артсити	Город, где строят арты!	barabum		-157	-14927	1500	-22	-1870	03.11.2022		TRUE
245	Петроград	Город, нацеленный на РП составляющую. Его действия разворачиваются в начале 20 века Районы выполнены как в пышных стилях, так и в индустриальных.	CptValve		8940	6546	1500	1105	822	04.11.2022		FALSE
246	КПСС	Город сэксуальных мужчин	Karonus_		899	-13887	250	99	-1732	04.11.2022		TRUE
247	Gleksika	очень хороший город, весело всегда, если вы одинокий, то вам сюда.	Vladora		-16584	288	1000	-2081	30	08.11.2022		TRUE
248	-	(данный город был переделан )	-		-5200	10822	1000	-650	1350	29.11.2022		TRUE
249	 Hidden Rain	Город вдохновленный Деревней Скрытого Дождя из Наруто. Архитектура в стиле идастриал стим панк.	roilo		8868	20189	1000	1105	2516	14.11.2022		TRUE
250	Шурима	Великая империя построенная на прахе врагов	Honflog		3390	-9965	2000	423	-1245	19.11.2022		TRUE
251	Хогвартс	Магический замок, со своими секретами и тайнами	Geraltss_		1176	-22851	1000	137	-2870	21.11.2022	-	TRUE
252	Серый север	Тихий город на окрайне страны, это город с вечной зимой, где мороз опустился до -45. Холод пронзает эти земли до коры. Это город где дом будет греть вас и вашу душу.	M_Krug		24545	-2050	500	3075	-233	22.11.2022	-	TRUE
253	One Piece	Тупо смешной город	KRATZ5		1347	-362	1000	169	-46	24.11.2022	-	TRUE
254	OtherSide	2 Бога решили привнести свою лепту в историю СП, основав свою Империю.	ArturchikRuina		-5661	11300	1000	-708	1412	27.11.2022		FALSE
255	Аркадия	Завораживающий подземный город!	MrSirius_		23044	-5818	1000	2868	-713	30.11.2022	-	TRUE
256	Вельмбург	Город с маленьким началом, но большим будущим	Mishutka2011		382	-18956	1250	43	-2370	02.12.2022	-	TRUE
257	Шелтер	Колония Святого Дестена Шелтер	Commxnder		1344	8790	2000	170	1092	03.12.2022		TRUE
258	 Корусант	Крупный город, входящий в состав Галактической Империи, а так-же являющийся её Столицей. 	MrFrocks		16933	5955	2000	2116	744	14.10.2022	https://vk.com/topic-131054616_48663772?offset=360&z=photo-131054616_457252102%2Fpost-131054616_4243	FALSE
259	Королевство Куки Мура	Самый лучший, прекрасный, перспективный и вообще кайфовый город-королевство	Kuki_mur		-4600	-800	500	-578	-100	11.12.2022		TRUE
260	Митлонд	-	Richard_de_Estre		-14000	-1666	800	-1726	-228	14.12.2022	-	TRUE
261	Техноград	Суровое, мрачное и одновременно прекрасное место в стиле Киберпанк 	Kvakins		-8450	-12132	2000	-1056	-1514	16.12.2022		FALSE
262	Антейку	город Антейку	T0st1k		17220	2134	2000	2152	252	16.12.2022		TRUE
263	Морио	Морио- город, расположенный в префектуре Японии в пригороде города S	nhuz_		21413	223	2000	2689	21	22.12.2022		TRUE
264	атлант 	Подводный футуристический город для самих топавих	baziza		-4800	1200	1500	-600	150	24.12.2022		TRUE
265	Graler City	Лютейший город	Mihanoks		-20830	70	2000	-2609	15	12.10.2022	https://vk.com/topic-131054616_48663772?post=4235	TRUE
266	Старый Оазис	Город в аква-песчанном стиле, с мемными жителями и ламповым комьюнити	Feyanin  		-12750	5064	600	-1530	661	01.08.2022	https://vk.com/gepe5?w=wall-131054616_87142	FALSE
267	Limf	Город не требующий усилий	deadHinkal		10676	434	500	1335	6	04.01.2023	-	TRUE
268	Красный белый и королевский синий	Город где живёт каждый гей сп	SheeZe_		4000	-3000	2000	500	-375	04.01.2023		FALSE
269	Иерусалим	Древний еврейский город с необычной архитектурой и дружеской атмосферой. Здесь вы можете вступить в Еврейскую общину и строить с другими евреями бизнес.	Wertuhay		6880	9312	2000	860	1164	04.01.2023	-	FALSE
270	Алла Борисовна град	Это великий город, посвященный лучшей учительнице математике 32 лицея	V0VKAD0		-16340	-2010	1200	-2042	-248	06.01.2023	-	FALSE
271	Rosa	Красивый, небольшой город одноимённой организации "Rosa"	nikolskiy		-400	-8000	350	-48	-996	06.01.2023	-	FALSE
272	Банецк	Великий фантом покорает вас.	xlebozovod_		-24561	852	600	-3082	114	06.01.2023	-	TRUE
273	CobalT	промышленный город, 20 века где таиться мафия и криминал	MrFlouzers		5724	-8152	400	724	-1012	07.01.2023	-	FALSE
274	Вано	Остров пиратиков и драконов	Yor1nn		-19246	-2015	2000	-2400	-400	09.10.2022	https://vk.com/topic-131054616_48663772?post=4226	FALSE
275	Город у Огромной Ямы	Город по Мотивам аниме "Made in Abyss"	GfORSE937		3620	9589	640	464	1190	09.01.2023	-	FALSE
276	Клоака	Город клоака сами топи тут модераторы живут	Huppl_		1665	17053	2000	206	2131	09.01.2023		FALSE
277	Город Городов	Свободный и Развивающийся - Город Городов ищет новых жителей:) В этом месте нет запреток, жёстких правил и духоты. Тут каждый сможет найти себя! И Мэр тут тоже отличный) Истинная Земля Свободы и Демократии!	FrenkuSS		-13289	-2572	1500	-1661	-320	11.01.2023	-	TRUE
278	Новичленд	Без описания	Dorfany		8250	24081	1500	1017	3025	13.01.2023	-	TRUE
279	Сан-мартин	Город труда, свободолюбия и огромной птицы	Ordibright	да	-890	-15587	400	-111	-1948	13.01.2023		TRUE
280	Lego city	Небольшой городок в стиле Вестерн с несколькими районами	WhiskerWhite		10367	-24280	1000	1291	-3040	13.01.2023		FALSE
282	кринжстоун	-	easypashtet	нет	-9256	420	500	-1159	52	19.03.2023	-	FALSE
283	Которея	-	SerJuo		-7801	7900	700	-973	1000	12.02.2023	-	FALSE
284	Ревендрет	Поселение	lapaff	Да	3981	17075	1500	496	2142	07.10.2022	https://vk.com/wall-131054616_87841	TRUE
285	Трианта		MrShow_	Да	1032	-7997	500	149	-987	13.02.2023		FALSE
286	Супер-Дупер Сверх Секретная база Орде на Реальности	После инцидента с СП5 - мы решили основать специализированную организацию по защите и сохранению Вселенной	SuperMineHahahha	Да	-19500	4800	2000	-2433	595	13.02.2023	-	TRUE
287	VIsland	Город V_Island сокращённо Висланд, многоэтажный город с множеством различный стилистик	Vlederick	нет	-1574	-9761	300	-1956	-1219	18.02.2023	-	FALSE
288	Святодорск	Милый христьянский город	Mormits	да	13492	2714	2000	1570	-2	19.02.2023	-	TRUE
289	Рыжый лес	Город, где можно спрятаться от проблем	RoiiZroi	да	-2111	-5470	450	-278	-679	19.02.2023	-	TRUE
290	Октавиан	Октавиан	Audax_96	да	2050	13154	1200	126	1654	19.02.2023		TRUE
291	Чиллград	Чилловый город	Minu_Bart	да	-22339	-4305	1000	-2797	-527	19.02.2023	-	TRUE
292	Нью-Хэвен	Город тематики Нью-Йорка 30х-40х годов с тематикой мафии, также здесь располагается бар Скалетта.	RYGIS_	да	-898	6219	2000	-111	777	25.06.2022	https://vk.com/gepe5?w=wall-131054616_86638%2Fall	TRUE
293	Арбузная Республика	Фермерское поселение	KseLeroN_	да	12300	2200	350	1544	277	19.02.2023	-	TRUE
294	Империал	-	KrabiKark	да	1037	13484	2000	-117	1693	19.02.2023	-	TRUE
295	Lost-Heaven	-	1William_	да	-1767	473	2000	-215	70	20.02.2023	-	FALSE
296	Маркарт	-	Ctulove		-12115	-2907	2000	-1500	-360	21.02.2023	-	FALSE
297	Infiniti Town	-	k1nkess	Нет	10505	-9490	600	1288	-1174	22.02.2023	-	FALSE
298	Галич	Это пиздец. Здесь живёт Чича	kvantorik	нет	-8975	-5640	1500	-1122	-700	22.02.2023		FALSE
299	Fortune	.	ficuss	Нету	2972	-4086	300	370	-514	23.02.2023	-	FALSE
300	Абобамунд	лучший город	Laste_	Нет	-20471	617	1500	-2551	88	23.02.2023	-	FALSE
301	Dita town	Город комьюнити дита. Принимаем уродов, недопянятых гениев и тд.	Haef_	нет	-15977	-421	500	-2000	-4	23.02.2023		FALSE
302	СкамЛаб	Научно - Исследовательский Университет и Лаборатория по изучению способов скама, незаконного и полузаконного способов зароботка.	NLMGreed	нету	14600	-4930	500	1825	-637	23.02.2023	-	FALSE
303	Париж	Великий город Париж, содержит в себе множество красивых зданий и парков. Мы ценим каждого жителя и гостя нашего города!	Malarsn	да	-2350	4606	800	-279	600	23.02.2023	-	TRUE
304	Древсити	Островной город выполненный в смешанном стиле современной Венеции или Петербурга.	MelkiWorld	да	3970	10104	500	505	1272	24.02.2023		TRUE
305	Мэйд ин хэвн	Город стрмиров клоунов, Фурри и японских мультиков	Golodniykirilll	да	-16019	9016	2000	-2012	1124	24.02.2023		TRUE
306	Азар	Город в стиле игры Fallout 4. Архетиктурное строение города повторяет карту самой игры из оригинала. Город весёлый и дружелюбный! Всегда рад как новичкам так и олдам Ждём вас!)))	Flirden_86	да	-477	19189	1000	2363	10	24.02.2023		TRUE
307	Протекторат ВС Коалиции Старая  Каролина	В городе рады ВСЕМ	Beta_Reone	Да	7500	6500	500	936	820	25.02.2023		FALSE
308	Deutschland	Город в стиле Германии	Ra1ZZZeN	нет	-17773	-5324	2000	-2222	-666	28.02.2023		FALSE
309	Дом теней	Город где живут те, кто любит скрываться в тени, они живут под землей и перемещаютсяпо тунелям. Стилистика по большей части подземная	Sir_Yusuf	да	-12000	-450	500	-1500	300	01.01.2023	-	TRUE
310	Liberty	либерально-демократический город в современном французском стиле	stefan_sees		-9735	-202	100	-1200	-21	03.03.2023	-	FALSE
311	SWEF	Город основанный лучшими СНГ аниматорами, в стиле модернизированного коммунизма	Swedli	Да	0	10000	800	15	1250	03.03.2023	-	TRUE
312	ХАЙП ЯМААААА	-	SSnusoed		9111	-2601	300	1141	-316	05.03.2023	-	FALSE
313	Мондштадт	Город свободы в средневековом стиле. Город бардов и актеров, а так же лучшего во всем мире ВИНА.	YlianKoron	да	-11600	-180	550	-1450		06.03.2023	-	TRUE
314	Форт Герань	Штаб Объединения ННПСП	2sadness	Да	-7522	-13386	400	-940	-1673	07.03.2023	-	TRUE
315	Уголёк Сквад	Угольки работают каждый день за бесплатно.	mrbandana	Да	261	18264	800	32	2281	08.03.2023	-	TRUE
316	Хэртон	Город который борется с анонимностью. Мы рады всем новичкам. Стиль нашего города современные мегаполисы как Сингапур. Будем рады дружить!	tedyyy77	да	15347	-3973	1000	1926	-500	09.03.2023	-	TRUE
317	-	-	-	-	-	-	-	-	-	-	-	FALSE
318	ButerCity	бутир	4ebupelka	да	-4215	5792	500	-526	723	10.03.2023		TRUE
319	Вроттердам	Родной дагестанский гор	Mc_makes		14816	-552	200	1841	-69	12.03.2023		FALSE
320	Белен	-	VoidGTB	Нет	14300	1100	2000	1770	130	12.03.2023	-	FALSE
321	Рафтель	Город прогресса	mdx6	Да	-11314	-5314	1000	-1422	-655	13.03.2023	-	TRUE
322	Dequa	Город клана Dequa по мотивам карты SpW	Ap5ent	Да	16000	-1251	1000	2000	156	15.03.2023	-	TRUE
323	Подрочитос	Самый дрочащий город	Kansay Xa4unyP4uk bednilotito	Да	-1650	7700	2000	-216	940	15.03.2023	-	TRUE
324	Северные Земли	Северные Земли города	EnergyBoBer	да	-1000	7000	1000	-163	870	05.06.2022	https://vk.ru/topic-131054616_48663772?post=3527	FALSE
325	Вайтомо	Небольшой город с большой историей. Огромная пещера, с приятными игроками, готовые исполнить свои мечты.	kAmEnNiY	Да	-1485	11600	2000	-170	-1434	19.03.2023		TRUE
326	BlackCloverCity	Восходящий темный расвет	lonelyRouse	Да	-848	-18276	2000	-112	-2280	16.01.2023	-	TRUE
327	Сосмаркская Империя	Историческая родина сосской нации	Bruno_Hempf	Да	-4470	-6723	570	833	-578	19.03.2023	-	TRUE
328	Happy Island	-	Reaclomp310	да	-14000	16000	2000	-864	1991	20.03.2023	-	TRUE
329	AC-0701	-	Bl1ser	Да	-1401	24000	2000	-87	3100	22.03.2023	-	TRUE
